ibmqx2_	0.748326416015625	0.018816276834940516	0.762080078125	0.01910870221654373
ibmqx2_corrected	0.7372114543856527	0.020207043080916767	0.7633513241728539	0.020293372698930303
ourense_	0.78836669921875	0.029979810179395112	0.790426025390625	0.03482375291736352
ourense_corrected	0.7898251902213205	0.030921265806987407	0.7955065479663719	0.03649538611573553
vigo_	0.74144287109375	0.030673315996705995	0.74319580078125	0.07008488502345778
vigo_corrected	0.7297910286821591	0.03303382835538998	0.7360140264528297	0.07456856371127533
melbourne_	0.644774169921875	0.1002328196365503	0.64895751953125	0.08661891864854053
melbourne_corrected	0.631549616943547	0.111535518939285	0.6371136268420025	0.09558186094838807
athens_	0.79261962890625	0.01610896215640584	0.793509521484375	0.019495804131996846
athens_corrected	0.7921654786336317	0.016495533996786084	0.7931960779206881	0.02008782341645488
