Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,127.88596962712022,136.41715926107034,4.833438588216221,1.970000000000005e-2,2.6680708150252726e-4,"cx0_1: 5.970e-3",Wed Nov 18 2020 07:04:22 GMT+0100 (Central European Standard Time)
Q1,203.57694557032787,112.34247159585372,4.6236119473924235,1.2799999999999923e-2,1.6295609902368277e-4,"cx1_0: 5.970e-3, cx1_2: 7.925e-3",Wed Nov 18 2020 07:04:22 GMT+0100 (Central European Standard Time)
Q2,75.49789987208754,64.08511011960019,4.820534120229018,1.0499999999999954e-2,2.0240713278844052e-4,"cx2_1: 7.925e-3, cx2_3: 6.382e-3",Wed Nov 18 2020 07:04:22 GMT+0100 (Central European Standard Time)
Q3,148.30692185796354,68.97248432266817,4.742317803541359,3.1300000000000106e-2,1.7258420521996094e-4,"cx3_2: 6.382e-3, cx3_4: 1.608e-2",Wed Nov 18 2020 07:04:22 GMT+0100 (Central European Standard Time)
Q4,149.9595053331516,3.6948871597987623,4.816343761697211,2.0530000000000004e-1,5.00869943800881e-3,"cx4_3: 1.608e-2",Wed Nov 18 2020 07:04:22 GMT+0100 (Central European Standard Time)
