simulator_	0.832672119140625	0.00391422887360962	0.8331298828125	0.003035847196153781
simulator_corrected	0.832672119140625	0.00391422887360962	0.8331298828125	0.003035847196153781
ibmqx2_	0.772308349609375	0.011667257667229355	0.76470947265625	0.02499708218236505
ibmqx2_corrected	0.760261569416499	0.012820680725679809	0.7618345093008339	0.026270185662339265
ourense_	0.8355712890625	0.038524257319307816	0.776611328125	0.05788166960150289
ourense_corrected	0.8374409398544247	0.04030018081468132	0.7651922281934684	0.06533920867789884
valencia_	0.690704345703125	0.02723472864071316	0.6998291015625	0.0428187613537759
valencia_corrected	0.6902835567884112	0.0343823234742984	0.690528492053237	0.045325144464418175
melbourne_	0.72998046875	0.016040522134088013	0.713714599609375	0.061940091735686764
melbourne_corrected	0.7377899045020463	0.017926870030347767	0.7085233369098712	0.06805434971817946
vigo_	0.76275634765625	0.040307378739333884	0.74212646484375	0.049336835199133997
vigo_corrected	0.7300273499352239	0.04753102729705244	0.7349218649102416	0.052197772691631894
